Soldiers And Butchers;Matthias Kelley;ciencia ficcion;129;lendario
Hawk Of The Void;Reon Livingston;ciencia ficcion;132;rario
Savior Of The Eclipse;Sofia Alexander;ciencia ficcion;148;libroz
Aliens With Wings;Hayleigh Carver;ciencia ficcion;149;triendo
Caza de mariposas;Archibald Castro;cuento;100;movinio
Thieves Of Wood;Rhiana Horner;cuento;164;specolo
Union Of The River;Anaiya Richards;historia;174;sinario
Bleeding At The Light;Paulina Weeks;mitico;186;lendio
Success Of Rainbows;Najma Payne;mitico;195;imiento
Bandits And Boys;Areeba Hopper;realidad;171;comiente
